name,manufacturer,product,category,weight,unit,price,consumable,product_url,notes
Water filter,Sawyer,Micro Squeeze Water Filter,Water System,80,g,35,,https://sawyer.com/products/sawyer-micro-squeeze-water-filtration-system/,
Sleeping pillow,Trekology,Luft 2.0,Sleep System,110,g,15,,https://trekology.com/collections/types/products/eu-aluft-2-0-inflatable-camping-backpacking-pillow,
Sleeping Bag liner,Sea to Summit,Thermolite Reactor Liner,Sleep System,248,g,46,,https://seatosummit.com/product/reactor-thermolite-mummy-liner/,
Bike Rack,Racktime,light/t,Bikepacking,570,g,0,,https://www.racktime.com/en/racktime-products/system-carriers/racktime-product/lightit,
Coffee maker,Aeropress,Aeropress,Cookware,185,g,27,,https://aeropress.com/product/aeropress-coffee-maker/,
Rack small bags,Arkel,Dry-lights,Bikepacking,454,g,103,,https://www.arkel-od.com/dry-lites/,
Hiking Socks - Winter,Falke,TK2,Footware,60,g,21,,https://www.falke.com/pl_en/p/tk2-wool-men-trekking-socks/16394_3150/,
Camera tripod,Pedco,UltraPod 3,Camera,51,g,25,,,
Mini tool,Topeak,Ratchet Rocket Light DX,Bike Gear,164,g,0,,https://www.topeak.com/us/en/products/75-Mini-Tools/771-RATCHET%20ROCKET%20LITE%20DX,
FFP2 Mask,,,Miscellaneous,3,g,0,,,
Solid wet wipes,RIAS,Compressed Mini Hand Towel,Toiletries,2,g,0,true,https://www.amazon.de/Trockent%C3%BCcher-Handtuchpillen-Mini-Handtuch-Erfrischungstuch-Reinigungstuch/dp/B00YSOCFSE,
Sunglasses case,Duco,Polarised Sunglasses,Miscellaneous,57,g,0,,https://www.amazon.de/-/en/gp/product/B081KSVHBN/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1,
Clothesline,Sea to Summit,The Clothesline,Toiletries,28,g,9,,https://seatosummitusa.com/collections/20-off-stocking-stuffers/products/lite-line-clothesline?_pos=1&_sid=ae94d64be&_ss=r,
Camera,Canon,G5x Mark II,Camera,350,g,0,,https://www.usa.canon.com/internet/portal/us/home/products/details/cameras/point-and-shoot-digital-cameras/advanced-cameras/powershot-g5-x-mark-ii,
